アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,12,33.3%,安打,18,90.0%
フライ,15,41.7%,四死球,2,10.0%
空三振,6,16.7%,失策出塁,0,0.0%
見三振,3,8.3%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
