打率.277,試合107,打席455,打数404,得点33,安打112,内安20,内安率17.9,２Ｂ15,３Ｂ3,本塁3,HR勝敗2-1-0,塁打142,打点32,三振63
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
41,0,5,2,3,8,3,72.7,6,0,7,.233,.349,.351,.700
