打率.231,試合67,打席160,打数134,得点10,安打31,内安4,内安率12.9,２Ｂ4,３Ｂ0,本塁2,HR勝敗1-0-1,塁打41,打点7,三振37
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
18,1,1,6,1,4,1,80.0,2,0,1,.172,.325,.306,.631
