球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,272,40.2%,147.9,27,51,52,100,47.8%,22.3%,.200,55,11,2,17,11,1
フォーク,99,14.6%,136.7,16,11,17,39,44.4%,32.7%,.318,22,7,0,6,2,0
スライダー,94,13.9%,130.3,11,21,12,35,46.8%,28.9%,.222,18,4,0,4,1,0
カットボール,53,7.8%,136.4,5,15,6,18,49.1%,25.0%,.091,11,1,0,3,2,0
チェンジアップ,37,5.5%,129.8,10,3,5,13,48.6%,47.6%,.400,5,2,0,0,0,0
カーブ,35,5.2%,121.5,5,8,3,17,45.7%,50.0%,.250,4,1,0,2,0,0
ツーシーム,26,3.8%,148.1,2,5,8,7,57.7%,14.3%,.333,6,2,0,2,0,0
シンカー,20,3.0%,133.2,0,2,3,10,25.0%,0.0%,.400,5,2,0,0,0,0
スプリット,17,2.5%,142.4,4,1,2,8,41.2%,50.0%,.000,3,0,0,1,1,0
シュート,13,1.9%,144.9,0,1,6,4,53.8%,0.0%,.000,2,0,0,0,0,0
ナックルカーブ,6,0.9%,127.4,2,0,1,2,50.0%,50.0%,.500,2,1,0,1,0,0
縦スライダー,4,0.6%,123.5,1,2,1,0,100.0%,50.0%,.000,1,0,0,1,0,0
スローカーブ,1,0.1%,83.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
