NOI426.7,GPA.223,RC15.33,RC273.70,XR15.70,XR273.79,RCAA0.12,XR+0.42,RCWIN0.01,XRWIN0.05,BABIP.302
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.49,0.093,8.89,4.32,0.075,67.00,0.231,0.600,2.67,35.6%,
