守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,.333,1,4,3,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,.500,.333,0.833
遊撃手,.143,2,10,7,1,1,0,0,1,4,1,2,0,0,0,3,0,0,0,0,.143,.571,0.714
左翼手,.230,29,104,87,6,20,3,0,1,26,6,23,14,0,0,2,1,2,0,1,.333,.299,0.632
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,.000,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.273,33,38,33,3,9,1,0,0,10,0,9,3,0,1,1,0,2,1,1,.351,.303,0.654
