アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,34,30.9%,安打,31,62.0%
フライ,33,30.0%,四死球,19,38.0%
空三振,31,28.2%,失策出塁,0,0.0%
見三振,6,5.5%,野選,0,0.0%
犠打,6,5.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
