防御率1.40,試合60,先発0,救援60,連投(試)0,連投(日)0,勝利4,敗戦2,HLD29,Ｓ1,ＨＰ33,ＳＰ5,救勝4,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,57.2,224,860,14.9,30,1,57,21,1,1,2,0,11,9,0.88,-
