球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,179,53.4%,155.4,27,24,47,56,54.7%,27.3%,0.222,36,8,1,13,2,1
カーブ,84,25.1%,127.5,9,26,8,29,51.2%,31.0%,0.095,21,2,0,9,5,0
フォーク,72,21.5%,137.9,17,9,6,30,44.4%,51.5%,0.211,19,4,0,9,0,0
