HQS率66.7%,SQS率66.7%,被打率.184,被BABIP.295,被出塁率.262,被長打率.263,K/BB4.43,K/912.88,BB/92.91,HR/90.42,GO/AO0.63,援護率1.80,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.58,92.2%,5.05,0.58,4.32,85,0.0,20,4,2.0,0,0,1,
