NOI376.5,GPA.205,RC4.54,RC272.79,XR4.43,XR272.72,RCAA-0.88,XR+-1.01,RCWIN-0.10,XRWIN-0.12,BABIP.317
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.75,0.093,54.00,0.093,0.463,0.00,22.8%,
