防御率2.35,試合26,先発0,救援26,連投(試)0,連投(日)0,勝利1,敗戦1,HLD3,Ｓ1,ＨＰ4,ＳＰ2,救勝1,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,30.2,134,525,17.1,30,1,21,12,2,1,0,0,9,8,1.37,-
