左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
33.9% (21),33.9% (21),33.9% (21),29.0% (18),29.0% (18),29.0% (18),37.1% (23),37.1% (23),37.1% (23)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
25.0% (4),- (0),37.0% (17),37.5% (6),- (0),26.1% (12),37.5% (6),- (0),37.0% (17)
