アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,4,30.8%,安打,3,33.3%
フライ,4,30.8%,四死球,5,55.6%
空三振,5,38.5%,失策出塁,1,11.1%
見三振,0,0.0%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
