NOI172.6,GPA.092,RC-0.06,RC27-0.24,XR0.31,XR271.18,RCAA-0.82,XR+-0.46,RCWIN-0.10,XRWIN-0.05,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.018,-,2.67,0.000,-,0.000,0.167,-,37.5%,
