NOI402.8,GPA.213,RC25.53,RC273.22,XR26.12,XR273.30,RCAA-2.03,XR+-1.59,RCWIN-0.24,XRWIN-0.19,BABIP.296
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.35,0.053,15.26,5.37,0.074,129.00,0.174,0.542,3.38,25.9%,
