球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,503,45.5%,146.2,24,93,158,142,54.7%,9.0%,.260,96,25,1,17,8,0
スライダー,166,15.0%,127.7,24,24,33,57,48.8%,28.2%,.184,38,7,0,11,3,0
カットボール,129,11.7%,135.2,17,11,31,36,45.7%,20.7%,.200,40,8,0,7,4,0
フォーク,92,8.3%,135.3,20,2,17,28,42.4%,32.3%,.324,34,11,1,10,0,0
チェンジアップ,55,5.0%,129.2,10,7,12,14,52.7%,29.4%,.250,16,4,0,4,0,0
カーブ,52,4.7%,117.3,2,13,8,24,44.2%,13.3%,.600,5,3,0,0,0,0
ツーシーム,40,3.6%,142.5,4,7,14,9,62.5%,16.7%,.100,10,1,0,4,0,2
スプリット,24,2.2%,139.4,4,2,3,6,37.5%,25.0%,.222,9,2,0,0,0,0
シュート,24,2.2%,145.6,1,1,9,8,45.8%,6.7%,.000,4,0,0,0,0,0
ナックルカーブ,9,0.8%,122.9,1,1,3,3,55.6%,20.0%,.500,2,1,0,1,0,0
シンカー,7,0.6%,133.7,0,1,2,1,42.9%,0.0%,.333,3,1,0,0,0,0
スラーブ,3,0.3%,120.3,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
スローカーブ,1,0.1%,82.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
パーム,1,0.1%,111.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
