条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.303,175,155,47,7,1,1,23,12,0,5,3
対左投手,0.155,115,103,16,4,0,1,31,7,2,2,1
