HQS率-,SQS率-,被打率.202,被BABIP.239,被出塁率.288,被長打率.337,K/BB2.37,K/98.87,BB/93.74,HR/91.18,GO/AO0.54,援護率-,IPR2.54,NHB%36.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.76,78.5%,-1.42,-0.17,-0.92,447,8.2,0,0,45.2,18,18,39,
