種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,3.06,3,3,0,1,2,0,0,0,0,0,0,17.2,17,2,8,5,1,7,6,1.25,0.25,4.24,-
Nighter,3.55,12,12,0,3,7,0,0,0,0,0,0,66.0,66,7,42,16,5,34,26,1.24,0.249,2.96,-
