NOI522.6,GPA.283,RC20.52,RC275.89,XR20.26,XR275.82,RCAA7.12,XR+6.79,RCWIN0.84,XRWIN0.80,BABIP.281
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.75,0.098,9.40,7.05,0.208,24.00,0.325,0.815,0.00,28.4%,
