守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,.400,2,7,5,1,2,0,0,1,5,1,0,2,0,0,0,0,0,0,0,.571,1.000,1.571
二塁手,.268,23,86,71,9,19,7,0,2,32,12,10,11,0,3,0,1,0,1,2,.384,.451,0.834
三塁手,.267,4,18,15,3,4,1,0,0,5,2,4,2,0,1,0,0,0,0,0,.389,.333,0.722
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,.500,1,4,4,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,1,.500,.750,1.25
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.200,16,26,25,2,5,1,0,2,12,4,5,0,0,0,1,0,0,0,0,.200,.480,0.68
