左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
49.0% (49),49.0% (49),49.0% (49),25.0% (25),25.0% (25),25.0% (25),26.0% (26),26.0% (26),26.0% (26)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
55.6% (15),100.0% (5),42.6% (29),37.0% (10),0.0% (0),22.1% (15),7.4% (2),0.0% (0),35.3% (24)
