NOI381.0,GPA.186,RC0.59,RC272.27,XR0.66,XR272.53,RCAA-0.40,XR+-0.34,RCWIN-0.05,XRWIN-0.04,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.67,0.190,5.00,3.33,0.000,-,0.286,0.500,-,50.0%,
