アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,60,24.3%,安打,75,59.5%
フライ,110,44.5%,四死球,46,36.5%
空三振,55,22.3%,失策出塁,5,4.0%
見三振,18,7.3%,野選,0,0.0%
犠打,4,1.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
