NOI354.6,GPA.185,RC6.85,RC271.80,XR6.63,XR271.74,RCAA-5.70,XR+-5.98,RCWIN-0.67,XRWIN-0.70,BABIP.292
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.24,0.050,18.86,4.55,0.034,-,0.085,0.381,0.00,27.3%,
