HQS率0.0%,SQS率0.0%,被打率.244,被BABIP.282,被出塁率.271,被長打率.311,K/BB-,K/95.11,BB/90.00,HR/90.00,GO/AO0.87,援護率6.30,IPR2.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.09,69.2%,0.58,0.07,0.17,47,2.2,10,7,2.2,1,0,0,
