チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ソフトバンク,3.38,1,0,1,0,0,1,0,1,0,0,0,2.2,4,0,0,0,1,1,1,1.5,0.364,-,2.67
ロッテ,1.50,2,2,0,0,0,0,0,0,0,0,0,6.0,5,0,4,0,0,1,1,0.83,0.227,6.43,-
楽天,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
オリックス,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
西武,4.91,1,1,0,0,0,0,0,0,0,0,0,3.2,2,0,3,0,1,2,2,0.55,0.167,6.00,-
