条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.2,21,20,4,0,0,0,5,0,0,0,1
対左打者,0.28,28,25,7,1,1,0,2,0,2,1,0
