NOI281.0,GPA.144,RC0.43,RC270.83,XR0.53,XR271.03,RCAA-1.28,XR+-1.19,RCWIN-0.15,XRWIN-0.14,BABIP.273
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.046,18.00,3.00,-0.000,-,0.059,0.286,-,38.9%,
