HQS率-,SQS率-,被打率.316,被BABIP.385,被出塁率.435,被長打率.526,K/BB1.67,K/99.00,BB/95.40,HR/91.80,GO/AO0.60,援護率-,IPR1.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.77,58.1%,-3.18,-0.38,-3.35,15,3.0,0,0,5.0,5,0,2,
