防御率2.45,試合24,先発0,救援24,連投(試)0,連投(日)0,勝利0,敗戦3,HLD13,Ｓ0,ＨＰ13,ＳＰ0,救勝0,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,22.0,94,342,15.5,21,1,14,5,1,1,2,0,6,6,1.18,-
