種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,2.45,12,0,12,0,1,7,0,7,0,0,1,11.0,11,0,9,2,0,3,3,1.18,0.25,-,3.67
Nighter,2.45,12,0,12,0,2,6,0,6,0,0,2,11.0,10,1,5,3,1,3,3,1.18,0.263,-,3.67
