HQS率-,SQS率-,被打率.256,被BABIP.294,被出塁率.303,被長打率.329,K/BB2.80,K/95.73,BB/92.05,HR/90.41,GO/AO1.24,援護率-,IPR3.67,NHB%33.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.74,82.0%,2.18,0.25,1.43,196,4.0,0,0,22.0,6,8,19,
