NOI471.5,GPA.249,RC43.45,RC274.44,XR43.53,XR274.45,RCAA5.16,XR+4.79,RCWIN0.60,XRWIN0.55,BABIP.289
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.63,0.111,7.63,4.80,0.127,36.78,0.284,0.681,1.80,36.2%,
