条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.269,188,167,45,8,2,4,22,17,1,2,1
対左投手,0.194,113,103,20,2,0,2,14,7,0,2,1
