球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
横浜,.204,44,151,137,10,28,7,0,3,44,11,20,11,0,0,2,1,0,0,1,.262,.321,0.583
東京ドーム,.292,6,25,24,1,7,0,0,0,7,1,2,0,0,1,0,0,0,0,0,.320,.292,0.612
甲子園,.364,4,13,11,1,4,0,1,0,6,0,0,2,0,0,0,0,0,0,0,.462,.545,1.007
マツダスタジアム,.300,6,12,10,2,3,0,0,0,3,2,1,2,0,0,0,0,0,0,0,.417,.300,0.717
神宮,.382,9,37,34,8,13,2,1,2,23,6,5,3,0,0,0,0,0,0,0,.432,.676,1.109
バンテリンドーム,.143,7,24,21,1,3,0,0,1,6,2,4,2,0,0,1,0,0,1,0,.217,.286,0.503
Ce その他,.250,1,5,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.400,.250,0.65
みずほPayPay,.273,3,12,11,0,3,0,0,0,3,0,2,0,0,0,1,0,0,0,0,.273,.273,0.545
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.000,2,7,5,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,.143,.000,0.143
京セラD大阪,.182,3,11,11,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0,0,.182,.273,0.455
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,.500,1,4,2,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,.750,.500,1.25
