NOI422.8,GPA.226,RC29.33,RC273.65,XR29.82,XR273.71,RCAA0.72,XR+1.06,RCWIN0.09,XRWIN0.13,BABIP.257
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.67,0.062,12.54,8.36,0.119,45.00,0.204,0.573,0.00,21.9%,
