条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.258,240,217,56,6,0,5,30,17,5,1,0
対左投手,0.197,148,132,26,6,1,1,18,9,4,2,1
