アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,106,39.4%,安打,82,68.3%
フライ,113,42.0%,四死球,35,29.2%
空三振,35,13.0%,失策出塁,2,1.7%
見三振,13,4.8%,野選,1,0.8%
犠打,2,0.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
