打率.235,試合98,打席388,打数349,得点33,安打82,内安9,内安率11.0,２Ｂ12,３Ｂ1,本塁6,HR勝敗4-2-0,塁打114,打点28,三振48
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
26,1,9,3,1,3,4,42.9,6,0,4,.189,.304,.327,.631
