NOI412.8,GPA.218,RC34.98,RC273.38,XR35.49,XR273.43,RCAA-3.22,XR+-3.16,RCWIN-0.37,XRWIN-0.37,BABIP.257
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.54,0.069,14.92,8.08,0.092,58.17,0.163,0.538,4.00,20.6%,
