NOI404.8,GPA.204,RC1.68,RC273.23,XR1.63,XR273.14,RCAA-0.29,XR+-0.36,RCWIN-0.03,XRWIN-0.04,BABIP.222
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.80,0.190,5.00,4.00,0.071,-,0.429,0.667,0.00,45.0%,
