アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,4,28.6%,安打,2,33.3%
フライ,3,21.4%,四死球,4,66.7%
空三振,3,21.4%,失策出塁,0,0.0%
見三振,2,14.3%,野選,0,0.0%
犠打,2,14.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
