左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
42.6% (98),42.6% (98),42.6% (98),24.3% (56),24.3% (56),24.3% (56),33.0% (76),33.0% (76),33.0% (76)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
42.9% (27),53.8% (7),41.6% (64),34.9% (22),7.7% (1),21.4% (33),22.2% (14),38.5% (5),37.0% (57)
