打率.230,試合102,打席367,打数330,得点31,安打76,内安5,内安率6.6,２Ｂ14,３Ｂ0,本塁13,HR勝敗8-5-0,塁打129,打点44,三振98
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
32,0,3,0,2,0,0,-,4,0,6,.262,.302,.391,.693
