打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,82,20,0.244,3,25,7,0,0,0.303
2打席目,78,19,0.244,4,23,9,0,2,0.315
3打席目,81,21,0.259,4,17,7,0,0,0.318
4打席目,65,15,0.231,2,21,7,0,0,0.306
5打席目以上,14,1,0.071,0,6,1,0,0,0.133
