アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,71,31.3%,安打,89,81.7%
フライ,102,44.9%,四死球,16,14.7%
空三振,38,16.7%,失策出塁,4,3.7%
見三振,10,4.4%,野選,0,0.0%
犠打,6,2.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
