条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.275,55,51,14,2,0,2,11,4,0,0,0
対左投手,0.318,23,22,7,1,0,2,2,1,0,0,0
