NOI308.2,GPA.170,RC2.69,RC271.86,XR2.98,XR272.06,RCAA-1.96,XR+-1.71,RCWIN-0.23,XRWIN-0.20,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.06,0.017,49.00,2.72,0.125,24.00,0.146,0.410,0.00,42.9%,
