条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.171,84,76,13,3,0,1,18,8,0,0,0
対左打者,0.191,78,68,13,5,1,0,16,6,0,3,1
