打率.277,試合93,打席391,打数364,得点48,安打101,内安5,内安率5.0,２Ｂ24,３Ｂ0,本塁16,HR勝敗10-5-0,塁打173,打点49,三振76
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
16,5,10,0,1,3,4,42.9,6,0,6,.282,.325,.475,.800
