球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,540,37.4%,147.4,48,78,133,165,48.0%,16.2%,.261,138,36,5,23,5,5
スライダー,244,16.9%,129.9,40,31,48,81,48.8%,30.3%,.204,54,11,2,10,4,1
カットボール,150,10.4%,136.1,22,25,25,43,48.0%,26.8%,.512,41,21,6,6,0,1
フォーク,133,9.2%,136.6,25,15,25,48,48.9%,35.7%,.257,35,9,1,15,0,0
チェンジアップ,95,6.6%,131.7,18,12,17,32,49.5%,35.3%,.250,20,5,0,4,1,1
ツーシーム,82,5.7%,141.6,9,8,16,25,40.2%,18.4%,.310,29,9,1,5,0,1
カーブ,58,4.0%,116.5,6,12,9,20,46.6%,23.1%,.308,13,4,1,2,0,0
シュート,46,3.2%,145.7,1,7,9,20,37.0%,5.3%,.100,10,1,0,1,0,1
スプリット,41,2.8%,138.4,4,4,6,20,34.1%,23.5%,.333,9,3,0,2,0,0
ナックルカーブ,26,1.8%,127.9,6,4,3,11,50.0%,54.5%,.000,6,0,0,4,1,0
シンカー,12,0.8%,130.8,2,0,3,3,41.7%,22.2%,.400,5,2,0,1,0,0
縦スライダー,5,0.3%,133.4,1,0,1,2,40.0%,33.3%,.000,2,0,0,1,0,0
パーム,5,0.3%,112.8,2,0,1,2,60.0%,66.7%,.000,2,0,0,2,0,0
パワーカーブ,4,0.3%,125.3,0,1,0,3,25.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,87.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
ワンシーム,1,0.1%,-,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
