チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ソフトバンク,13.5,3,0,3,0,0,0,0,0,0,0,0,2.0,4,0,1,1,0,3,3,2.5,0.4,-,0.67
日本ハム,0.0,3,0,3,0,0,2,0,2,0,0,0,1.2,2,0,0,2,0,0,0,2.4,0.286,-,99.0
ロッテ,0.0,1,0,1,0,0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0.0,0.0,-,99.0
楽天,3.6,4,0,4,0,0,1,0,1,0,0,0,5.0,5,1,3,2,0,2,2,1.4,0.263,-,2.5
西武,0.0,1,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.0,0.0,-,99.0
