打率.201,試合39,打席154,打数139,得点13,安打28,内安6,内安率21.4,２Ｂ3,３Ｂ0,本塁5,HR勝敗2-3-0,塁打46,打点13,三振35
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,1,0,0,1,0,0,-,0,0,1,.182,.273,.331,.604
