左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
31.7% (33),31.7% (33),31.7% (33),24.0% (25),24.0% (25),24.0% (25),44.2% (46),44.2% (46),44.2% (46)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
21.7% (5),20.0% (1),35.5% (27),30.4% (7),20.0% (1),22.4% (17),47.8% (11),60.0% (3),42.1% (32)
