NOI383.0,GPA.205,RC12.82,RC273.06,XR13.76,XR273.29,RCAA-2.34,XR+-1.58,RCWIN-0.27,XRWIN-0.18,BABIP.230
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.071,11.00,4.40,0.129,27.80,0.230,0.536,0.00,35.1%,
