種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,4.01,33,1,32,1,3,6,8,7,9,1,2,33.2,41,3,23,7,2,15,15,1.43,0.313,0.00,2.44
Visitor,1.61,23,0,23,2,1,4,8,6,10,2,1,22.1,19,1,20,13,0,4,4,1.43,0.241,-,5.58
