アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,49,22.6%,安打,82,78.8%
フライ,90,41.5%,四死球,21,20.2%
空三振,65,30.0%,失策出塁,1,1.0%
見三振,12,5.5%,野選,0,0.0%
犠打,1,0.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
