左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
39.9% (87),39.9% (87),39.9% (87),27.5% (60),27.5% (60),27.5% (60),32.6% (71),32.6% (71),32.6% (71)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
37.1% (26),50.0% (6),40.4% (55),32.9% (23),8.3% (1),26.5% (36),30.0% (21),41.7% (5),33.1% (45)
