打率.277,試合87,打席321,打数296,得点45,安打82,内安4,内安率4.9,２Ｂ16,３Ｂ3,本塁12,HR勝敗9-2-0,塁打140,打点41,三振77
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
18,1,3,1,3,6,3,66.7,1,0,1,.373,.322,.473,.795
