NOI479.5,GPA.263,RC45.77,RC275.57,XR45.49,XR275.53,RCAA14.17,XR+13.52,RCWIN1.64,XRWIN1.56,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.23,0.045,17.83,4.17,0.196,24.67,0.267,0.752,8.00,33.3%,
