左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
38.4% (81),38.4% (81),38.4% (81),23.7% (50),23.7% (50),23.7% (50),37.9% (80),37.9% (80),37.9% (80)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
25.4% (15),0.0% (0),45.5% (66),35.6% (21),0.0% (0),20.0% (29),39.0% (23),100.0% (7),34.5% (50)
