NOI481.2,GPA.261,RC33.56,RC275.21,XR32.48,XR275.04,RCAA8.76,XR+7.39,RCWIN1.01,XRWIN0.85,BABIP.286
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.88,0.046,16.80,14.82,0.157,32.86,0.222,0.702,0.00,15.5%,
